OUTPUT:
Sweep 1, MSE: 9.377543
Sweep 2, MSE: 5.041090
Sweep 3, MSE: 2.964702
Sweep 4, MSE: 1.992710
Sweep 5, MSE: 1.086735
Sweep 6, MSE: 0.768794
Sweep 7, MSE: 0.510891
Sweep 8, MSE: 0.319039
Sweep 9, MSE: 0.234060
Sweep 10, MSE: 0.137860
Sweep 11, MSE: 0.102997
Sweep 12, MSE: 0.052247
Sweep 13, MSE: 0.038572
Sweep 14, MSE: 0.025911
Sweep 15, MSE: 0.018922
Sweep 16, MSE: 0.012011
Sweep 17, MSE: 0.008632
Sweep 18, MSE: 0.005166
Sweep 19, MSE: 0.003370
Sweep 20, MSE: 0.002270
Sweep 21, MSE: 0.001388
Sweep 22, MSE: 0.000946
Sweep 23, MSE: 0.000498
Sweep 24, MSE: 0.000409
Sweep 25, MSE: 0.000295
